/home/k-z/.venv/lib/python3.11/site-packages/torch/nn/modules/transformer.py:306: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(f"enable_nested_tensor is True, but self.use_nested_tensor is False because {why_not_sparsity_fast_path}")
{'AlphaViT_Large': 1499.4616425952233, 'AlphaViD_Large': 1498.7740271156158, 'AlphaVDA_Large': 1503.7366646512428, 'AlphaViT_Small': 1545.9390048469832, 'AlphaViD_Small': 1556.1900939527977, 'AlphaVDA_Small': 1555.4039718169197, 'AlphaViT_Multi': 1475.284885047851, 'AlphaViD_Multi': 1456.1139599516348, 'AlphaVDA_Multi': 1464.840184980114, 'AlphaZero': 1550.382962253191, 'Minimax': 1452.0268362476504, 'MCTS100': 1507.1732416483262, 'MCTS400': 1513.4022261205232, 'random': 1421.270298771927}

{'AlphaViT_Large': 1489.9497659082872, 'AlphaViD_Large': 1486.7226083535813, 'AlphaVDA_Large': 1512.8538575339837, 'AlphaViT_Small': 1578.0190946485693, 'AlphaViD_Small': 1583.5166700436555, 'AlphaVDA_Small': 1600.1814260740139, 'AlphaViT_Multi': 1467.8245764013657, 'AlphaViD_Multi': 1428.1359001629974, 'AlphaVDA_Multi': 1440.3918831777248, 'AlphaZero': 1585.4314787173232, 'Minimax': 1417.9158868866195, 'MCTS100': 1515.409411278879, 'MCTS400': 1534.4735477914937, 'random': 1359.1738930215058}

{'AlphaViT_Large': 1502.3750937046404, 'AlphaViD_Large': 1488.8749917188738, 'AlphaVDA_Large': 1495.1960771390454, 'AlphaViT_Small': 1609.7303507868005, 'AlphaViD_Small': 1618.0741548071285, 'AlphaVDA_Small': 1629.9747361234374, 'AlphaViT_Multi': 1462.9540257061467, 'AlphaViD_Multi': 1399.5847236828952, 'AlphaVDA_Multi': 1423.5252789633707, 'AlphaZero': 1616.87705411246, 'Minimax': 1384.0201813595136, 'MCTS100': 1506.826463086904, 'MCTS400': 1532.807936437037, 'random': 1329.1789323717474}

{'AlphaViT_Large': 1512.2044838274842, 'AlphaViD_Large': 1484.8020794521594, 'AlphaVDA_Large': 1492.1618660010688, 'AlphaViT_Small': 1635.316890351877, 'AlphaViD_Small': 1644.5262307327841, 'AlphaVDA_Small': 1654.2882075818611, 'AlphaViT_Multi': 1437.462495352683, 'AlphaViD_Multi': 1390.9316800774004, 'AlphaVDA_Multi': 1400.555648399932, 'AlphaZero': 1643.2709121685443, 'Minimax': 1369.9765061975113, 'MCTS100': 1498.1568665507407, 'MCTS400': 1535.0141681066318, 'random': 1301.3319651993227}

{'AlphaViT_Large': 1515.9036176050497, 'AlphaViD_Large': 1472.4750037370598, 'AlphaVDA_Large': 1490.8397721794383, 'AlphaViT_Small': 1644.159642936008, 'AlphaViD_Small': 1661.68710052958, 'AlphaVDA_Small': 1673.479276880899, 'AlphaViT_Multi': 1426.938544471636, 'AlphaViD_Multi': 1390.7497750799894, 'AlphaVDA_Multi': 1361.289168580144, 'AlphaZero': 1660.849926116298, 'Minimax': 1374.0831875189756, 'MCTS100': 1504.0660472304705, 'MCTS400': 1557.387140750293, 'random': 1266.091796384159}

{'AlphaViT_Large': 1507.8832682314521, 'AlphaViD_Large': 1465.41625709043, 'AlphaVDA_Large': 1496.764713213108, 'AlphaViT_Small': 1654.4392224923422, 'AlphaViD_Small': 1680.6290195193212, 'AlphaVDA_Small': 1692.5902439829274, 'AlphaViT_Multi': 1406.6982667531518, 'AlphaViD_Multi': 1404.5961192855018, 'AlphaVDA_Multi': 1363.3348467549351, 'AlphaZero': 1671.8440381673981, 'Minimax': 1357.3649553822863, 'MCTS100': 1511.7108267583092, 'MCTS400': 1560.7894124391792, 'random': 1225.9388099296577}
