/home/k-z/.venv/lib/python3.11/site-packages/torch/nn/modules/transformer.py:306: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(f"enable_nested_tensor is True, but self.use_nested_tensor is False because {why_not_sparsity_fast_path}")
{'AlphaViT_Large': 1540.7118539774237, 'AlphaViD_Large': 1536.9451948855803, 'AlphaVDA_Large': 1531.3205783754208, 'AlphaViT_Small': 1451.6633216281555, 'AlphaViD_Small': 1446.4567299092287, 'AlphaVDA_Small': 1456.8880605244585, 'AlphaViT_Multi': 1562.6381252888375, 'AlphaViD_Multi': 1534.8087583931494, 'AlphaVDA_Multi': 1523.015169824199, 'AlphaZero': 1590.3341047055153, 'Minimax': 1451.0683524630815, 'MCTS100': 1461.8805387204713, 'MCTS400': 1501.2140523128407, 'random': 1411.0551589916377}

{'AlphaViT_Large': 1580.7645397008632, 'AlphaViD_Large': 1556.9696740566867, 'AlphaVDA_Large': 1557.692360138381, 'AlphaViT_Small': 1414.466367718731, 'AlphaViD_Small': 1418.5791238890172, 'AlphaVDA_Small': 1428.4709515984111, 'AlphaViT_Multi': 1614.3520902490868, 'AlphaViD_Multi': 1544.57947831788, 'AlphaVDA_Multi': 1542.3964346400016, 'AlphaZero': 1651.6912842864351, 'Minimax': 1394.4628174781594, 'MCTS100': 1438.5104557379311, 'MCTS400': 1513.9441477545167, 'random': 1343.1202744338989}

{'AlphaViT_Large': 1608.6462285524883, 'AlphaViD_Large': 1578.136039225241, 'AlphaVDA_Large': 1582.8375004512259, 'AlphaViT_Small': 1379.8913461253246, 'AlphaViD_Small': 1397.325568261371, 'AlphaVDA_Small': 1399.5388246042558, 'AlphaViT_Multi': 1652.6554456743315, 'AlphaViD_Multi': 1564.58348873291, 'AlphaVDA_Multi': 1559.9749124443372, 'AlphaZero': 1695.2727343198173, 'Minimax': 1356.542974800936, 'MCTS100': 1433.3254951107142, 'MCTS400': 1501.7712947229404, 'random': 1289.498146974107}

{'AlphaViT_Large': 1638.5853714467244, 'AlphaViD_Large': 1583.4927689347583, 'AlphaVDA_Large': 1588.319464963636, 'AlphaViT_Small': 1359.4342622406107, 'AlphaViD_Small': 1382.8209525650398, 'AlphaVDA_Small': 1376.401452605404, 'AlphaViT_Multi': 1683.7883217713375, 'AlphaViD_Multi': 1569.6085757293965, 'AlphaVDA_Multi': 1576.7895090983866, 'AlphaZero': 1731.4251969488726, 'Minimax': 1331.0139315998006, 'MCTS100': 1436.2278030525624, 'MCTS400': 1489.8410541598992, 'random': 1252.2513348835716}

{'AlphaViT_Large': 1655.8500673906462, 'AlphaViD_Large': 1599.5616341328514, 'AlphaVDA_Large': 1601.9703208099802, 'AlphaViT_Small': 1335.640526975997, 'AlphaViD_Small': 1368.3312683338581, 'AlphaVDA_Small': 1362.2019999664574, 'AlphaViT_Multi': 1714.159030340786, 'AlphaViD_Multi': 1582.1949122231501, 'AlphaVDA_Multi': 1586.6932178384814, 'AlphaZero': 1751.7311270116195, 'Minimax': 1299.333864733342, 'MCTS100': 1430.924673488256, 'MCTS400': 1498.5585385366314, 'random': 1212.848818217943}

{'AlphaViT_Large': 1677.657661126171, 'AlphaViD_Large': 1606.8681803034249, 'AlphaVDA_Large': 1604.4494581204399, 'AlphaViT_Small': 1321.9968707369396, 'AlphaViD_Small': 1348.4626753466746, 'AlphaVDA_Small': 1344.7453554434462, 'AlphaViT_Multi': 1727.9209484788394, 'AlphaViD_Multi': 1599.0804546645597, 'AlphaVDA_Multi': 1599.5653808556926, 'AlphaZero': 1785.0323744308473, 'Minimax': 1278.7947758880653, 'MCTS100': 1419.1174508340616, 'MCTS400': 1507.4189144963334, 'random': 1178.8894992745045}
