/home/k-z/.venv/lib/python3.11/site-packages/torch/nn/modules/transformer.py:306: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(f"enable_nested_tensor is True, but self.use_nested_tensor is False because {why_not_sparsity_fast_path}")
{'AlphaViT_Large': 1521.6618834562541, 'AlphaViD_Large': 1513.7518207842238, 'AlphaVDA_Large': 1466.2212915364864, 'AlphaViT_Small': 1545.301929421937, 'AlphaViD_Small': 1544.551872508123, 'AlphaVDA_Small': 1548.3477939440847, 'AlphaViT_Multi': 1527.2410281122902, 'AlphaViD_Multi': 1454.582661876847, 'AlphaVDA_Multi': 1446.0799069579564, 'AlphaZero': 1562.015846631757, 'Minimax': 1472.1593042056918, 'MCTS100': 1470.3570146288694, 'MCTS400': 1518.3404501223297, 'random': 1409.3871958131492}

{'AlphaViT_Large': 1540.9014311766985, 'AlphaViD_Large': 1505.9195026053849, 'AlphaVDA_Large': 1440.0978306163038, 'AlphaViT_Small': 1575.298239555406, 'AlphaViD_Small': 1588.6867469690428, 'AlphaVDA_Small': 1585.0638820476047, 'AlphaViT_Multi': 1532.215071169032, 'AlphaViD_Multi': 1430.5153456071898, 'AlphaVDA_Multi': 1404.3154479127277, 'AlphaZero': 1605.0053733597415, 'Minimax': 1468.993288942575, 'MCTS100': 1449.9567513513502, 'MCTS400': 1530.7093312681764, 'random': 1342.3217574187668}

{'AlphaViT_Large': 1560.779946210271, 'AlphaViD_Large': 1490.1582349054074, 'AlphaVDA_Large': 1414.3823450451066, 'AlphaViT_Small': 1604.527142666008, 'AlphaViD_Small': 1618.8324457236731, 'AlphaVDA_Small': 1608.3247799908324, 'AlphaViT_Multi': 1538.7318097806071, 'AlphaViD_Multi': 1430.4084858527365, 'AlphaVDA_Multi': 1359.5334633551347, 'AlphaZero': 1637.658466717485, 'Minimax': 1451.9587385239856, 'MCTS100': 1442.882704415208, 'MCTS400': 1541.5534529181741, 'random': 1300.2679838953702}

{'AlphaViT_Large': 1572.9618627031882, 'AlphaViD_Large': 1498.54938618345, 'AlphaVDA_Large': 1383.5846195501279, 'AlphaViT_Small': 1628.252444124184, 'AlphaViD_Small': 1638.8123477339136, 'AlphaVDA_Small': 1630.0274614748048, 'AlphaViT_Multi': 1568.5963594131572, 'AlphaViD_Multi': 1415.6955096547838, 'AlphaVDA_Multi': 1352.6667619826544, 'AlphaZero': 1656.975230127746, 'Minimax': 1426.2011372223146, 'MCTS100': 1422.7668548591862, 'MCTS400': 1549.8030635322013, 'random': 1255.106961438288}

{'AlphaViT_Large': 1577.3138226726082, 'AlphaViD_Large': 1506.6423027090232, 'AlphaVDA_Large': 1369.750587673553, 'AlphaViT_Small': 1642.8372510108425, 'AlphaViD_Small': 1662.7416225374227, 'AlphaVDA_Small': 1643.9082131706496, 'AlphaViT_Multi': 1580.297737411916, 'AlphaViD_Multi': 1419.559590408418, 'AlphaVDA_Multi': 1321.198318847259, 'AlphaZero': 1672.3750285728804, 'Minimax': 1422.6434223809442, 'MCTS100': 1390.7758629994573, 'MCTS400': 1569.3701731777142, 'random': 1220.5860664273118}

{'AlphaViT_Large': 1587.6241872318994, 'AlphaViD_Large': 1502.346791278211, 'AlphaVDA_Large': 1344.0466712604941, 'AlphaViT_Small': 1655.1685394739159, 'AlphaViD_Small': 1674.5641290103238, 'AlphaVDA_Small': 1667.410104101452, 'AlphaViT_Multi': 1604.251694741569, 'AlphaViD_Multi': 1411.6541833686897, 'AlphaVDA_Multi': 1305.8880939712526, 'AlphaZero': 1689.2679265466722, 'Minimax': 1401.1480211529597, 'MCTS100': 1402.640396201078, 'MCTS400': 1566.900137449972, 'random': 1187.0891242115108}

{'AlphaViT_Large': 1584.838402184432, 'AlphaViD_Large': 1500.0036385300234, 'AlphaVDA_Large': 1349.3903648771218, 'AlphaViT_Small': 1665.2688465668352, 'AlphaViD_Small': 1689.0619789544492, 'AlphaVDA_Small': 1675.776606817896, 'AlphaViT_Multi': 1604.6739163799223, 'AlphaViD_Multi': 1418.0725086855023, 'AlphaVDA_Multi': 1285.852270576094, 'AlphaZero': 1697.1754002881949, 'Minimax': 1400.1011093752627, 'MCTS100': 1391.3105593357257, 'MCTS400': 1576.621601181353, 'random': 1161.8527962471876}

{'AlphaViT_Large': 1584.79566244989, 'AlphaViD_Large': 1492.0603909221377, 'AlphaVDA_Large': 1340.9705593204885, 'AlphaViT_Small': 1667.3719218821966, 'AlphaViD_Small': 1689.5003041231794, 'AlphaVDA_Small': 1694.1316097716638, 'AlphaViT_Multi': 1612.49717938928, 'AlphaViD_Multi': 1419.1144716421804, 'AlphaVDA_Multi': 1262.0428785049926, 'AlphaZero': 1707.3364729157763, 'Minimax': 1405.1609421323633, 'MCTS100': 1393.7464348458943, 'MCTS400': 1591.9674992340808, 'random': 1139.3036728658765}

