/home/k-z/.venv/lib/python3.11/site-packages/torch/nn/modules/transformer.py:306: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(f"enable_nested_tensor is True, but self.use_nested_tensor is False because {why_not_sparsity_fast_path}")
{'AlphaViT_Large': 1545.1814524474833, 'AlphaViD_Large': 1501.6558090853323, 'AlphaVDA_Large': 1487.8473995317495, 'AlphaViT_Small': 1566.1967603102535, 'AlphaViD_Small': 1548.6912372594124, 'AlphaVDA_Small': 1559.5216404851367, 'AlphaViT_Multi': 1439.7802629745142, 'AlphaViD_Multi': 1450.4088856327976, 'AlphaVDA_Multi': 1433.3285015749568, 'AlphaZero': 1576.216904059751, 'Minimax': 1472.6992163782304, 'MCTS100': 1491.8296782289706, 'MCTS400': 1508.3976249062946, 'random': 1418.2446271251172}

{'AlphaViT_Large': 1592.1288142484746, 'AlphaViD_Large': 1493.6819520899573, 'AlphaVDA_Large': 1453.3539755743914, 'AlphaViT_Small': 1614.6053659178053, 'AlphaViD_Small': 1577.8102618752084, 'AlphaVDA_Small': 1608.1021564930552, 'AlphaViT_Multi': 1399.5708350306127, 'AlphaViD_Multi': 1428.859648960083, 'AlphaVDA_Multi': 1381.2693281816667, 'AlphaZero': 1632.4155873722611, 'Minimax': 1458.0969186479917, 'MCTS100': 1480.2478790956663, 'MCTS400': 1519.6939328327046, 'random': 1360.1633436801217}

{'AlphaViT_Large': 1625.4016360171884, 'AlphaViD_Large': 1503.0243718520464, 'AlphaVDA_Large': 1458.103545097886, 'AlphaViT_Small': 1645.9941593229057, 'AlphaViD_Small': 1612.3414884806275, 'AlphaVDA_Small': 1631.2342335302917, 'AlphaViT_Multi': 1347.3418861257876, 'AlphaViD_Multi': 1403.2900391739227, 'AlphaVDA_Multi': 1349.309936810146, 'AlphaZero': 1676.5537391652206, 'Minimax': 1454.7275290250882, 'MCTS100': 1436.4471050858845, 'MCTS400': 1532.374262740725, 'random': 1323.8560675722802}

{'AlphaViT_Large': 1648.0841219938204, 'AlphaViD_Large': 1516.5375571482841, 'AlphaVDA_Large': 1466.5619570112644, 'AlphaViT_Small': 1675.72430607729, 'AlphaViD_Small': 1626.2737738114763, 'AlphaVDA_Small': 1655.7196480187129, 'AlphaViT_Multi': 1322.8232925512586, 'AlphaViD_Multi': 1398.348903247762, 'AlphaVDA_Multi': 1307.9844332617652, 'AlphaZero': 1706.0274972267537, 'Minimax': 1436.7372414851698, 'MCTS100': 1428.2614944063016, 'MCTS400': 1538.5151034613873, 'random': 1272.4006702987538}

{'AlphaViT_Large': 1670.127600624594, 'AlphaViD_Large': 1518.8353483654785, 'AlphaVDA_Large': 1470.39357621335, 'AlphaViT_Small': 1706.4433865025057, 'AlphaViD_Small': 1645.4734438991165, 'AlphaVDA_Small': 1669.9042096956164, 'AlphaViT_Multi': 1303.3685905636678, 'AlphaViD_Multi': 1401.927091309352, 'AlphaVDA_Multi': 1279.660019169981, 'AlphaZero': 1716.6957140132374, 'Minimax': 1434.2994818287273, 'MCTS100': 1417.728105633256, 'MCTS400': 1535.2728943811787, 'random': 1229.870537799939}

{'AlphaViT_Large': 1689.8386165199163, 'AlphaViD_Large': 1521.8978438905256, 'AlphaVDA_Large': 1458.4714483118753, 'AlphaViT_Small': 1727.799845272018, 'AlphaViD_Small': 1662.5163586082415, 'AlphaVDA_Small': 1682.911374312337, 'AlphaViT_Multi': 1296.6338532336458, 'AlphaViD_Multi': 1393.5836410516101, 'AlphaVDA_Multi': 1248.6850639873123, 'AlphaZero': 1747.9519142869103, 'Minimax': 1421.8451132708255, 'MCTS100': 1412.2318342831013, 'MCTS400': 1534.971448583127, 'random': 1200.661644388554}
